tweetcreatedts,username,location,retweetcount,text,hashtags
2021-07-06 23:51:04,EdiKeceput,Indonesia,1,"Bela TKA China Masuk Indonesia Saat PPKM, Pemerhati Politik: Luhut Sedang Pasang Bom Waktu
 https://t.co/sRO3LDKWpO #CoronaVirus #COVID19 #PPKMDarurat #LuhutBinsarPanjaitan #Jokowi #TKAChina #MRizalFadillah","[{'text': 'CoronaVirus', 'indices': [116, 128]}, {'text': 'COVID19', 'indices': [129, 137]}, {'text': 'PPKMDarurat', 'indices': [138, 150]}, {'text': 'LuhutBinsarPanjaitan', 'indices': [151, 172]}, {'text': 'Jokowi', 'indices': [173, 180]}, {'text': 'TKAChina', 'indices': [181, 190]}, {'text': 'MRizalFadillah', 'indices': [191, 206]}]"
2021-07-06 23:51:01,rctvcirebon,Cirebon - Indonesia,0,Forkompimda Pantau PPKM Darurat di Sejumlah Lokasi https://t.co/bUmW3SJACV,[]
2021-07-06 23:50:52,akunkubiarwangi,"Solo, Indonesia",0,@RumaningsihCece PPKM pun boleh ya bikin hajatan..,[]
2021-07-06 23:50:51,Andraasaputri04,"Kota Magelang, Jawa Tengah",0,"Kemarin
PSBB

Sekarang
PPKM

Kemungkinan besok
PPKN IPA IPS MTK😶",[]
2021-07-06 23:50:49,rachmaddyanto,"Sidoarjo, Indonesia",0,"@kaumpaylater gak mas, kan ppkm",[]
2021-07-06 23:50:38,SaveIDN,Indonesia,3,"Kalian yang terus menerus memprovokasi agar rakyat tidak mematuhi aturan PPKM DARURAT, apa yang kalian inginkan? Apakah kalian menginginkan rakyat Indonesia mati konyol? 
Dan kalian, yg terrpovokasi, apakah kalian harus mati dulu baru Kalian sadar bhw kalian goblok? https://t.co/zArI5d0ArZ",[]
2021-07-06 23:50:29,YudhaRisky9,,0,@crystallthing Sekarang aja ppkm besok PKN bahasa kimia Ama fisika,[]
2021-07-06 23:50:12,adriCB8,"DKI Jakarta, Indonesia",4,"@Mdy_Asmara1701 @aniesbaswedan Marahnya Pemimpin yg berhati nurani,
Tidak marah pd tkg bakso,penjual soto,Warteg juga tdk pd penjual nasi padang dg mengobrak abrik dagangannya tetapi Dia marah pd pengusaha yg melanggar aturan PPKM darurat yg sdh diberlakukan,
TEGAS tapi tidak BERINGAS !",[]
2021-07-06 23:50:05,kabarmaduranews,Pamekasan,0,"PPKM Darurat, Sekolah  Kembali Terapkan PJJ https://t.co/ubje6BFb96",[]
2021-07-06 23:50:05,Indratrwn,"Cijati, Majalengka, JawaBarat",0,@adammhidayat Mbung keur ppkm,[]
2021-07-06 23:50:04,BendosariPolsek,"Sukoharjo, Indonesia",0,"Gabungan Tim Satgas Covid-19 Kecamatan Bendosari dipimpin Camat Bendosari Rohmadi, S.H.,https://t.co/HrGGsHLvb4 melaksanakan pemantauan dan pastikan pelaksanaan PPKM Darurat dapat dipatuhi semua warga guna menekan penyebaran Covid19. [6/7/2021
#patuhiPPKMDarurat https://t.co/opG2eVTcUf","[{'text': 'patuhiPPKMDarurat', 'indices': [244, 262]}]"
2021-07-06 23:49:55,antozz,Jakarta,0,"@MAbdulQohar2 @AAN02ALCATRAS @geloraco Dengan PPKM &amp; embel2nya itu keputusan semua wewenang Satgas Covid-19 dan Pemulihan Ekonomi Nasional. Nggak seperti saat PSBB yang bisa diputuskan sendiri. karena Satgas tsb lebih mementingkan Ekonomi ya begini jadinya. Jangan lupa usulan Menkes dan Pak Anies diakhir Mei, ditolak",[]
2021-07-06 23:49:46,Songkangbbn,"Muğla Merkez, Muğla",72,"PPKM
Pernah Pacaran Kemudian Musuhan",[]
2021-07-06 23:49:45,paktani_vote,tanah yang subur,0,@na_dirs era portal ditutup kan sdg #ppkm prof #jagasehat,"[{'text': 'ppkm', 'indices': [36, 41]}, {'text': 'jagasehat', 'indices': [47, 57]}]"
2021-07-06 23:49:44,JanissaryD_Last,"Lodd, Palestine",0,"@Kachonk35_79 wkwkwkwkwk..tatum wis tak iket nang umoh 0m..😂🤣

kalo dilepas bahaya om lg ppkm darurat 😬😬😬",[]
2021-07-06 23:49:39,Info_BPN,Kota Balikpapan,0,Ketua DPRD Kaltim Desak Pemerintah Pusat Berlakukan PPKM Darurat di Kaltim - https://t.co/xJpsOCJENz https://t.co/yMwhYnAflD https://t.co/pqFWb35IDX,[]
2021-07-06 23:49:35,NgupingBali,,0,"Kafe di Bali Digerebek saat PPKM Darurat, 12 Orang Diamankan Polisi - detikNews https://t.co/MtvLr8oX7w",[]
2021-07-06 23:49:33,NgupingBali,,0,"Selama PPKM Darurat, Danrem Tambah Personel TNI Siaga di Bandara-Pelabuhan Bali | https://t.co/qGXezGrhae - https://t.co/YGSRVmRMIr https://t.co/Xxm0pQN2pk",[]
2021-07-06 23:49:29,matcha_mousse_,"Sydney, New South Wales",0,"Oiya, ppkm😥",[]
2021-07-06 23:49:23,IyanAdriansyah9,,0,"Gubernur Khofifah mengimbau semua pihak untuk memaksimalkan vaksinasi di seluruh kabupaten dan kota di Provinsi Jatim. Khususnya, saat PPKM darurat",[]
2021-07-06 23:49:20,HKaligondang,"Purbalingga, Indonesia",0,"Patuhi aturan PPKM Darurat,  patuhi protokol kesehatan dan tetap di rumah https://t.co/CLPaUbnmX6",[]
2021-07-06 23:49:18,AndreHere23,"Semarang, Jawa Tengah",0,"Ppkm buruan kek, pengen main golf 😡",[]
2021-07-06 23:49:17,SantorinisSun,🌞,74,"Selain virus Coronanya sendiri yg terus bermutasi...
Pandemi ini menjadi lebih berbahaya krn adanya golongan sbb :
- ngeyelan &amp; nantangin
- tak percaya Covid
- tak berempati
- punya agenda busuk
Yg terakhir itu paling berbahaya krn mrk memanfaatkan PPKM Darurat sbg senjatanya",[]
2021-07-06 23:49:09,Yuniatigalihwi1,,0,Mau selamat dari serbuan Covid-19? Patuhilah aturan selama PPKM Darurat https://t.co/ggapAbPjAf,[]
2021-07-06 23:49:06,amethystgleams,dscrt,0,"PPKM
Pengen Disepong Kamu 😢",[]
2021-07-06 23:48:57,Jasatama_,"DKI Jakarta, Indonesia",0,"PPKM
Penendang Penalti Kok Morata
PPKM
Paling Paling Kena Mental
#PPKM 
#ForzaAzzurri 
#Juve 
#madrit","[{'text': 'PPKM', 'indices': [65, 70]}, {'text': 'ForzaAzzurri', 'indices': [72, 85]}, {'text': 'Juve', 'indices': [87, 92]}, {'text': 'madrit', 'indices': [94, 101]}]"
2021-07-06 23:48:56,WahyuTamanBunga,Indonesia,0,"Kepada Yth.
Bp. Gubernur DIY @SriSultanHBX 
Di Yogyakarta

“Pak kalau PPKM Darurat tidak menunjukan faedah per tgl 20 Juli selain jalan sepi krn ditutup, warung tutup, rakyat g kerja, ketakutan akan dipenjara dan masjid tutup, lalu apa yang harus kita lakukan tgl 21 Juli?”",[]
2021-07-06 23:48:45,beritaislamorg,,1,"PPKM Darurat di Solo, Mall Buka, Namun Pasar Wong Cilik Harus Tutup https://t.co/3XGCiaqMPp",[]
2021-07-06 23:48:44,icabiiii,Made in Sarojo,0,"Jelesin dong ttg ppkm ni, w mo pulang ke bukitt🥺",[]
2021-07-06 23:48:37,AbangPurba3,,0,@geloraco Gini Pung anda larang rakyat keluar rumah tapi para TKA China begitu leluasa masuk Indonesia dan selalu terjadi saat anda dan rezimmu melakukan PSBB dan saat ini PPKM.,[]
2021-07-06 23:48:26,assillme,soc,0,((Kita bakal update liburan dengan prokes yang berlaku)) mbae durung pernah disamplok klopo ye? Wong-wong lo arep kerjo wae disemprot water canon ha ikii malah spam story liburan :(( la po PPKM kebal nggo influencer to https://t.co/y8hehPUhtA,[]
2021-07-06 23:48:25,abdazmoe,Pamekasan city,0,"Alaunsidah penyakit IRDENG nya akut ya seperti ini. 
https://t.co/VrJqSiwXKc

Anies Baswedan melakukan sidak di sejumlah kantor perusahaan non-esensial yang masih buka selama PPKM Darurat. Sidak diminta lebih sering dilakukan.",[]
2021-07-06 23:47:50,johan_teruna,,0,"@tempodotco laah? kalo TKA CINA datang bawa penyakit, sama aja ente gak dukung PPKM DARURAT !!",[]
2021-07-06 23:47:34,poutmonz,,0,@NAurumn Kalau begini salah panitianya dan juga perangkat desa yg ga sosialisasi PPKM.,[]
2021-07-06 23:47:33,Harian_Jogja,"Yogyakarta, Indonesia",1,"3 Hari PPKM Darurat, Satpol-PP Kulonprogo Layangkan 67 Teguran https://t.co/3aaSdVed3D #beritajogja #jogja #jogjaistimewa https://t.co/RyPyd4j3KP","[{'text': 'beritajogja', 'indices': [87, 99]}, {'text': 'jogja', 'indices': [100, 106]}, {'text': 'jogjaistimewa', 'indices': [107, 121]}]"
2021-07-06 23:47:29,naddaisy,"Surakarta, Jawa Tengah",0,apa itu ppkm? hahaha,[]
